江苏电信,#genre#
IPTV谍战剧场,http://111.12.69.253:9090/rtp/239.81.0.15:4056$广西电信
IPTV3＋综艺,http://111.12.69.253:9090/rtp/239.81.0.66:4056$广西电信
IPTV5＋体育,http://111.12.69.253:9090/rtp/239.81.0.12:4056$广西电信
IPTV6＋电影,http://111.12.69.253:9090/rtp/239.81.0.65:4056$广西电信
IPTV8＋电视剧,http://111.12.69.253:9090/rtp/239.81.0.67:4056$广西电信
东方财经,http://111.12.69.253:9090/rtp/239.81.0.76:4056$广西电信
嘉佳卡通,http://111.12.69.253:9090/rtp/239.81.0.64:4056$广西电信
卡酷动画,http://111.12.69.253:9090/rtp/239.81.0.62:4056$广西电信
金鹰卡通,http://111.12.69.253:9090/rtp/239.81.0.61:4056$广西电信
新动漫,http://111.12.69.253:9090/rtp/239.81.0.235:4056$广西电信
少儿动画,http://111.12.69.253:9090/rtp/239.81.0.82:4056$广西电信
动漫秀场,http://111.12.69.253:9090/rtp/239.81.0.68:4056$广西电信
全纪实,http://111.12.69.253:9090/rtp/239.81.0.78:4056$广西电信
